"a","unlist.b.","unlist.c.","unlist.d.","Freq","anio","codigo"
"algarrobo","separado(a)","no, ninguno","mujer",19,"2013",5602
"algarrobo","conviviente o pareja","sí, lee y escribe","hombre",1033,"2013",5602
"algarrobo","casado(a)","sí, lee y escribe","hombre",1764,"2013",5602
"algarrobo","casado(a)","no, ninguno","mujer",19,"2013",5602
"algarrobo","conviviente o pareja","no, ninguno","hombre",19,"2013",5602
"algarrobo","viudo(a)","sí, lee y escribe","mujer",992,"2013",5602
"algarrobo","viudo(a)","sí, lee y escribe","hombre",55,"2013",5602
"algarrobo","casado(a)","no, sólo lee","hombre",19,"2013",5602
"algarrobo","soltero(a)","no, ninguno","mujer",194,"2013",5602
"algarrobo","soltero(a)","sí, lee y escribe","mujer",1411,"2013",5602
"algarrobo","separado(a)","sí, lee y escribe","hombre",359,"2013",5602
"algarrobo","conviviente o pareja","sí, lee y escribe","mujer",1052,"2013",5602
"algarrobo","separado(a)","sí, lee y escribe","mujer",569,"2013",5602
"algarrobo","anulado(a)","sí, lee y escribe","mujer",19,"2013",5602
"algarrobo","casado(a)","sí, lee y escribe","mujer",1819,"2013",5602
"algarrobo","soltero(a)","sí, lee y escribe","hombre",1976,"2013",5602
"algarrobo","casado(a)","no, ninguno","hombre",55,"2013",5602
"alhué","casado(a)","no, ninguno","hombre",72,"2013",13502
"alhué","casado(a)","no, ninguno","mujer",72,"2013",13502
"alhué","viudo(a)","sí, lee y escribe","mujer",111,"2013",13502
"alhué","soltero(a)","no, sólo lee","mujer",11,"2013",13502
"alhué","viudo(a)","no, ninguno","mujer",18,"2013",13502
"alhué","viudo(a)","no, sólo escribe","hombre",14,"2013",13502
"alhué","viudo(a)","no, ninguno","hombre",14,"2013",13502
"alhué","soltero(a)","sí, lee y escribe","hombre",659,"2013",13502
"alhué","casado(a)","sí, lee y escribe","hombre",542,"2013",13502
"alhué","viudo(a)","no, sólo lee","mujer",14,"2013",13502
"alhué","conviviente o pareja","sí, lee y escribe","mujer",229,"2013",13502
"alhué","casado(a)","no, sólo lee","mujer",18,"2013",13502
"alhué","separado(a)","sí, lee y escribe","mujer",110,"2013",13502
"alhué","conviviente o pareja","no, ninguno","hombre",14,"2013",13502
"alhué","conviviente o pareja","no, ninguno","mujer",14,"2013",13502
"alhué","casado(a)","sí, lee y escribe","mujer",535,"2013",13502
"alhué","soltero(a)","no, ninguno","hombre",91,"2013",13502
"alhué","viudo(a)","sí, lee y escribe","hombre",18,"2013",13502
"alhué","separado(a)","no, ninguno","mujer",11,"2013",13502
"alhué","soltero(a)","sí, lee y escribe","mujer",682,"2013",13502
"alhué","soltero(a)","no, sólo lee","hombre",22,"2013",13502
"alhué","conviviente o pareja","sí, lee y escribe","hombre",229,"2013",13502
"alhué","soltero(a)","no, ninguno","mujer",55,"2013",13502
"alhué","separado(a)","sí, lee y escribe","hombre",119,"2013",13502
"alhué","casado(a)","no, sólo lee","hombre",11,"2013",13502
"alto biobío","viudo(a)","no, ninguno","hombre",71,"2013",8314
"alto biobío","viudo(a)","no, ninguno","mujer",59,"2013",8314
"alto biobío","soltero(a)","no, sólo escribe","hombre",45,"2013",8314
"alto biobío","viudo(a)","sí, lee y escribe","hombre",40,"2013",8314
"alto biobío","soltero(a)","no, ninguno","mujer",45,"2013",8314
"alto biobío","soltero(a)","sí, lee y escribe","hombre",1835,"2013",8314
"alto biobío","viudo(a)","sí, lee y escribe","mujer",73,"2013",8314
